ID,MAP,type,is_display,,coord_index,,,,,,
0,0,38100,1,126,126,0,0,0,0,0,0
1,0,30301,1,110,110,0,0,0,0,0,0
2,0,30300,1,103,103,0,0,0,0,0,0
3,0,38101,1,107,107,0,0,0,0,0,0
4,0,32102,1,112,112,0,0,0,0,0,0
5,0,32201,1,120,120,0,0,0,0,0,0
6,0,32101,1,313,116,1,0,0,0,0,0
7,0,34101,1,101,101,0,0,0,0,0,0
8,0,34300,1,111,111,0,0,0,0,0,0
9,0,34103,1,106,106,0,0,0,0,0,0
10,0,34101,1,104,104,0,0,0,0,0,0
11,0,43410,0,358,358,0,0,0,0,0,0
12,0,41000,1,302,302,0,0,1,0,0,1
13,0,41000,1,116,313,0,1,1,0,0,1
14,0,41000,1,300,300,0,0,1,0,0,1
15,0,45000,1,312,312,0,0,1,0,0,1
16,0,40008,1,305,305,0,0,1,0,0,1
17,0,43400,0,314,314,0,0,0,0,0,0
18,0,43000,0,301,301,0,0,0,0,0,0
19,0,46910,1,757,757,0,0,0,0,0,0
20,0,46640,1,756,756,0,0,0,0,0,0
21,0,49420,1,190,190,0,0,0,0,0,0
22,0,46740,1,761,761,0,0,0,0,0,0
23,0,46630,1,763,763,0,0,0,0,0,0
24,0,46560,1,755,755,0,0,0,0,0,0
25,0,46540,1,758,758,0,0,0,0,0,0
26,0,46620,1,754,754,0,0,0,0,0,0
27,0,46590,1,760,760,0,0,0,0,0,0
28,0,46720,1,762,762,0,0,0,0,0,0
29,0,46550,1,750,750,0,0,0,0,0,0
30,0,46570,1,759,759,0,0,0,0,0,0
31,0,46510,1,753,753,0,0,0,0,0,0
32,0,46050,0,620,620,0,0,0,0,0,0
33,0,46010,0,633,633,0,0,0,0,0,0
34,0,46000,0,655,655,0,0,0,0,0,0
35,0,46060,0,628,628,0,0,0,0,0,0
36,0,46030,0,637,637,0,0,0,0,0,0
37,0,46040,0,660,660,0,0,0,0,0,0
38,0,46020,0,658,658,0,0,0,0,0,0
39,0,46010,0,651,651,0,0,0,0,0,0
40,0,46030,0,659,659,0,0,0,0,0,0
41,0,46030,0,644,644,0,0,0,0,0,0
42,0,46000,0,645,645,0,0,0,0,0,0
43,0,46010,0,662,662,0,0,0,0,0,0
44,0,46040,0,616,616,0,0,0,0,0,0
45,0,46030,0,617,617,0,0,0,0,0,0
46,0,46050,0,643,643,0,0,0,0,0,0
47,0,46000,0,653,653,0,0,0,0,0,0
48,0,46030,0,654,654,0,0,0,0,0,0
49,0,46040,0,621,621,0,0,0,0,0,0
50,0,46030,0,627,627,0,0,0,0,0,0
51,0,46050,0,646,646,0,0,0,0,0,0
52,0,46030,0,632,632,0,0,0,0,0,0
53,0,46020,0,641,641,0,0,0,0,0,0
54,0,46020,0,661,661,0,0,0,0,0,0
55,0,46010,0,622,622,0,0,0,0,0,0
56,0,46040,0,650,650,0,0,0,0,0,0
57,0,46000,0,619,619,0,0,0,0,0,0
58,0,46010,0,648,648,0,0,0,0,0,0
59,0,46000,0,647,647,0,0,0,0,0,0
60,0,46000,0,618,618,0,0,0,0,0,0
61,0,46000,0,634,634,0,0,0,0,0,0
62,0,46010,0,638,638,0,0,0,0,0,0
63,0,46060,0,652,652,0,0,0,0,0,0
64,0,46010,0,623,623,0,0,0,0,0,0
65,0,46060,0,630,630,0,0,0,0,0,0
