ID,Name,areaNo,gridXNo,gridZNo,posX,posZ,picX,picY
1000,,60,42,36,26,-4,1347.412109,3514.746094
1001,,60,42,38,-54,21,1114.990234,1954.614258
1002,,60,42,39,-54,61,1114.990234,1094.65332
1003,,60,43,36,88,-29,2271.289063,3587.37793
1004,,60,43,36,-75,88,1797.729492,3247.460938
1005,,60,43,37,17,-58,2065.014648,2927.880859
1006,,60,43,38,-84,-62,1771.582031,2195.751953
1007,,60,44,37,-53,64,2605.395508,2573.4375
1008,,60,44,39,-34,-22,2660.595703,1335.791016
1009,,60,45,36,-88,96,3247.460938,3224.21875
1010,,60,45,37,-48,82,3363.671875,2521.142578
1011,,60,45,39,82,18,3741.357422,1219.580078
1021,,60,44,36,48.9,91.352,2901.442871,3237.722461
1022,,60,45,37,-30.535,53.865,3414.412476,2602.882446
1023,,60,43,38,-26.54,35.82,1938.519043,1911.558105
1024,,60,43,39,88.99,96.707,2274.165283,990.9147217
1025,,60,43,37,36.38,41.32,2121.318848,2639.329102
1026,,60,44,37,-53,64,2605.395508,2573.4375
11000,,60,43,36,-96,121,1736.71875,3151.586914
11001,,60,43,38,75,-31,2233.520508,2105.688477
11002,,60,44,37,55.69,35.04,2921.169678,2657.574219
12000,,60,44,39,0,-115,2759.375,1605.981445
12001,,60,44,39,0,-115,2759.375,1605.981445
21000,,60,42,36,26,-4,1347.412109,3514.746094
21001,,60,42,38,-54,21,1114.990234,1954.614258
21002,,60,42,39,-54,61,1114.990234,1094.65332
21003,,60,43,36,88,-29,2271.289063,3587.37793
21004,,60,43,36,-75,88,1797.729492,3247.460938
21005,,60,43,37,17,-58,2065.014648,2927.880859
21006,,60,43,38,-84,-62,1771.582031,2195.751953
21007,,60,44,37,-53,64,2605.395508,2573.4375
21008,,60,44,39,-34,-22,2660.595703,1335.791016
21009,,60,45,36,-88,96,3247.460938,3224.21875
21010,,60,45,37,-48,82,3363.671875,2521.142578
21011,,60,45,39,82,18,3741.357422,1219.580078
21021,,60,44,36,48.9,91.352,2901.442871,3237.722461
21022,,60,45,37,-30.535,53.865,3414.412476,2602.882446
21023,,60,43,38,-26.54,35.82,1938.519043,1911.558105
21024,,60,43,39,88.99,96.707,2274.165283,990.9147217
21025,,60,43,37,36.38,41.32,2121.318848,2639.329102
21026,,60,44,37,-53,64,2605.395508,2573.4375
100,,60,42,37,108,50,1585.644531,2614.111328
101,,60,42,37,45,-107,1402.612305,3070.239258
103,,60,42,39,-30,-45,1184.716797,1402.612305
104,,60,43,36,-29,-49,1931.37207,3645.483398
106,,60,43,39,0,-77,2015.625,1495.581055
107,,60,43,39,-24,111,1945.898438,949.3896484
108,,60,44,36,-22,-72,2695.458984,3712.304688
109,,60,44,37,75,-9,2977.270508,2785.522461
110,,60,44,38,2,-13,2765.185547,2053.393555
111,,60,44,38,126,-70,3125.439453,2218.994141
112,,60,44,39,73,-64,2971.459961,1457.8125
113,,60,45,36,-5,20,3488.598633,3445.019531
114,,60,45,37,4,-68,3514.746094,2956.933594
116,,60,45,38,44,97,3630.957031,1733.813477
117,,60,45,39,-56,54,3340.429688,1114.990234
118,,60,43,38,-128,92,1643.75,1748.339844
119,,60,43,39,0,-77,2015.625,1495.581055
120,,60,42,38,53,-44,1425.854492,2143.457031
121,,60,42,37,45,-107,1402.612305,3070.239258
122,,60,42,37,108,50,1585.644531,2614.111328
123,,60,42,38,53,-44,1425.854492,2143.457031
124,,60,42,38,53,-44,1425.854492,2143.457031
125,,60,44,36,45,98,2890.112305,3218.408203
126,,60,44,36,45,98,2890.112305,3218.408203
127,,60,44,39,73,-64,2971.459961,1457.8125
128,,60,45,37,4,-68,3514.746094,2956.933594
129,,60,44,38,126,-70,3125.439453,2218.994141
190,,60,43,37,89.7,62.66,2276.228027,2577.330566
300,,60,42,36,-74,62,1056.884766,3322.998047
301,,60,42,37,-66,44,1080.126953,2631.542969
302,,60,42,38,-48,98.46,1132.421875,1729.571777
305,,60,43,36,57,85,2181.225586,3256.176758
306,,60,43,38,-86,32,1765.771484,1922.65625
307,,60,44,36,45,98,2890.112305,3218.408203
308,,60,44,37,-52,-76,2608.300781,2980.175781
309,,60,44,37,34.33,-58.97,2859.113037,2930.698975
310,,60,44,39,-72,44,2550.195313,1144.042969
312,,60,45,37,86,4,3752.978516,2747.753906
313,,60,45,38,39,-9,3616.430664,2041.772461
314,,60,45,38,-86,81,3253.271484,1780.297852
315,,60,44,36,99.06,12.58,3047.171387,3466.57666
316,,60,44,37,72.97,39.88,2971.372803,2643.512695
317,,60,44,37,-13.58,28.39,2719.921387,2676.894287
318,,60,45,37,-40.77,-83.51,3384.677002,3001.994385
319,,60,45,37,49.5,46.28,3646.936035,2624.918945
320,,60,45,37,25.51,-25.69,3577.238525,2834.011475
321,,60,45,37,-112.99,-33.61,3174.858154,2857.02124
322,,60,45,36,53.98,92.46,3659.95166,3234.503418
350,,60,42,36,-74,62,1056.884766,3322.998047
351,,60,42,37,-66,44,1080.126953,2631.542969
